Latitude,Longitude,Height,Concentration,Wind Velocity,Wind Angle
45.52984,10.174182,0,19.4,0.5,270
45.52984,10.174182,0,12.9,0.5,270
45.52984,10.174182,0,27.1,0.5,270
45.52984,10.174182,0,16.5,0.5,270
45.52984,10.174182,0,116.4,0.5,270
45.52984,10.174182,0,68.5,0.5,270
45.52984,10.174182,0,27.4,0.5,270
45.52984,10.174182,0,12.9,0.5,270
45.52984,10.174182,0,229.3,0.5,270
45.52984,10.174182,0,204.2,0.5,270
45.52984,10.174182,0,87.7,0.5,270
45.52984,10.174182,0,34.8,0.5,270
45.52984,10.174182,0,14.8,0.5,270
45.52984,10.174182,0,328.8,0.5,270
45.52984,10.174182,0,1535,0.5,270
45.52984,10.174182,0,2732.6,0.5,270
45.52984,10.174182,0,1589.3,0.5,270
45.52984,10.174182,0,621.2,0.5,270
45.52984,10.174182,0,234.2,0.5,270
45.52984,10.174182,0,91.5,0.5,270
45.52984,10.174182,0,39.3,0.5,270
45.52984,10.174182,0,19.9,0.5,270
45.52984,10.174182,0,12.1,0.5,270
45.52981,10.17421,0,18.4,0.5,270
45.52981,10.17421,0,79.1,0.5,270
45.52981,10.17421,0,80.5,0.5,270
45.52981,10.17421,0,36.3,0.5,270
45.52981,10.17421,0,15.2,0.5,270
45.529797,10.174203,0,40.1,1.1,58
45.529797,10.174208,0,35.8,1.1,58
45.529797,10.174208,0,46.2,1.1,58
45.529797,10.174207,0,24.3,1.1,58
45.529797,10.17421,0,11.5,1.1,58
45.529797,10.1742115,0,25.1,1.1,58
45.529797,10.1742115,0,16.7,1.1,58
45.529797,10.1742115,0,10.3,1.1,58
45.529797,10.1742115,0,16.8,1.1,58
45.529797,10.1742115,0,32.4,1.1,58
45.529797,10.1742115,0,33.5,1.1,58
45.529797,10.1742115,0,36.7,1.1,58
45.529797,10.1742115,0,24.3,1.1,58
45.529797,10.1742115,0,12.3,1.1,58
45.529835,10.174004,0,11.1,1.1,58
45.52984,10.173971,0,10.8,1.1,58
45.52984,10.173958,0,11.2,1.1,58
45.529778,10.1741705,0,12.4,1.1,58
45.529778,10.174174,0,11.8,1.1,58
45.52978,10.174173,0,12.6,1.1,58
45.52978,10.174173,0,16,1.1,58
45.52978,10.174173,0,29.4,1.1,58
45.52978,10.174173,0,36.1,1.1,58
45.52978,10.174173,0,142.9,1.1,58
45.52978,10.174173,0,89.1,1.1,58
45.52978,10.174173,0,55.3,1.1,58
45.52978,10.174173,0,45.5,1.1,58
45.52978,10.174173,0,40.8,1.1,58
45.52978,10.174173,0,82.7,1.1,58
45.52978,10.174173,0,99.6,1.1,58
45.52978,10.174173,0,107.2,1.1,58
45.52978,10.174173,0,64.9,1.1,58
45.52978,10.174173,0,28.6,1.1,58
45.52978,10.174173,0,13.6,1.1,58
45.529827,10.1742115,0,27.6,0.5,274
45.529827,10.1742115,0,89.4,0.5,274
45.529827,10.1742115,0,56.6,0.5,274
45.529827,10.1742115,0,900.4,0.5,274
45.529827,10.1742115,0,719.9,0.5,274
45.529827,10.1742115,0,316.1,0.5,274
45.529827,10.1742115,0,124.8,0.5,274
45.529827,10.1742115,0,53.1,0.5,274
45.529827,10.1742115,0,36.3,0.5,274
45.529827,10.1742115,0,79,0.5,274
45.529827,10.1742115,0,74.3,0.5,274
45.529827,10.1742115,0,39.8,0.5,274
45.529827,10.1742115,0,19.3,0.5,274
45.529827,10.1742115,0,13.5,0.5,274
45.529827,10.1742115,0,11.7,0.5,274
45.529827,10.1742115,0,10.5,0.5,274
45.529827,10.1742115,0,32,0.5,274
45.529827,10.1742115,0,18.6,0.5,274
45.529827,10.1742115,0,10.7,0.5,274
45.529827,10.1742115,0,10.5,0.5,274
45.529827,10.1742115,0,19,0.5,274
45.529827,10.1742115,0,44.8,0.5,274
45.529827,10.1742115,0,92.7,0.5,274
45.529827,10.1742115,0,45.6,0.5,274
45.529827,10.1742115,0,21.7,0.5,274
45.529827,10.1742115,0,11.1,0.5,274
45.529827,10.1742115,0,13.8,0.5,274
45.529827,10.1742115,0,32.9,0.5,274
45.529827,10.1742115,0,50.8,0.5,274
45.529827,10.1742115,0,59.2,0.5,274
45.529827,10.1742115,0,36,0.5,274
45.529827,10.1742115,0,20.4,0.5,274
45.529827,10.1742115,0,10.1,0.5,274
45.529827,10.1742115,0,16.6,0.5,274
45.529827,10.1742115,0,51.8,0.5,274
45.529827,10.1742115,0,64.5,0.5,274
45.529827,10.1742115,0,43.5,0.5,274
45.529827,10.1742115,0,24.2,0.5,274
45.529827,10.1742115,0,17.2,0.5,274
45.529827,10.1742115,0,10.8,0.5,274
45.529827,10.1742115,0,61.5,0.5,274
45.529827,10.1742115,0,151.6,0.5,274
45.529827,10.1742115,0,89.8,0.5,274
45.529827,10.1742115,0,129.5,0.5,274
45.529827,10.1742115,0,125,0.5,274
45.529827,10.1742115,0,52,0.5,274
45.529827,10.1742115,0,21.2,0.5,274
45.529827,10.1742115,0,10.1,0.5,68
45.529797,10.1742115,0,88.1,0.5,68
45.529797,10.1742115,0,728.8,0.5,68
45.529797,10.1742115,0,871.4,0.5,68
45.529797,10.1742115,0,426.4,0.5,68
45.529797,10.1742115,0,264.7,0.5,68
45.529797,10.1742115,0,214,0.5,68
45.529797,10.1742115,0,89.4,0.5,68
45.529797,10.1742115,0,37.1,0.5,68
45.529797,10.1742115,0,17.1,0.5,68
45.529797,10.1742115,0,330.1,0.5,68
45.529797,10.1742115,0,334,0.5,68
45.529797,10.1742115,0,648.8,0.5,68
45.529797,10.1742115,0,774.3,0.5,68
45.529797,10.1742115,0,496.8,0.5,68
45.529797,10.1742115,0,263.3,0.5,68
45.529797,10.1742115,0,150.2,0.5,68
45.529797,10.1742115,0,137.1,0.5,68
45.529797,10.1742115,0,91.1,0.5,68
45.529797,10.1742115,0,48.8,0.5,68
45.529797,10.1742115,0,24.1,0.5,68
45.529797,10.1742115,0,12.6,0.5,68
45.529797,10.1742115,0,60.2,0.5,68
45.529797,10.1742115,0,36.8,0.5,68
45.529797,10.1742115,0,16,0.5,68
45.5298,10.174198,0,1582.5,0.5,68
45.5298,10.174198,0,1203.2,0.5,68
45.5298,10.174198,0,528.8,0.5,68
45.5298,10.174198,0,209.6,0.5,68
45.5298,10.174198,0,102,0.5,68
45.5298,10.174198,0,51.6,0.5,68
45.5298,10.174198,0,22.9,0.5,68
45.5298,10.174198,0,11.8,0.5,68
45.5298,10.174198,0,15.9,0.5,68
45.5298,10.174198,0,6267.5,0.5,68
45.5298,10.174198,0,3275.8,0.5,68
45.5298,10.174198,0,1264.3,0.5,68
45.5298,10.174198,0,20499.7,0.5,68
45.5298,10.174198,0,17119.4,0.5,68
45.5298,10.174198,0,15294.7,0.5,68
45.5298,10.174198,0,19924.7,0.5,68
45.5298,10.174198,0,11475.3,0.5,68
45.5298,10.174198,0,5584.3,0.5,68
45.5298,10.174198,0,2194.8,0.5,68
45.5298,10.174198,0,884,0.5,68
45.5298,10.174198,0,373.8,0.5,68
45.5298,10.174198,0,181.5,0.5,68
45.5298,10.174198,0,101.4,0.5,68
45.5298,10.174198,0,67.1,0.5,68
45.5298,10.174198,0,48.1,0.5,68
45.5298,10.174198,0,37.7,0.5,68
45.5298,10.174198,0,32,0.5,68
45.5298,10.174198,0,29.1,0.5,68
45.5298,10.174198,0,23.5,0.5,68
45.5298,10.174198,0,20.3,0.5,68
45.5298,10.174198,0,18.4,0.5,68
45.5298,10.174198,0,15.7,0.5,68
45.5298,10.174198,0,13.9,0.5,68
45.5298,10.174198,0,12.3,0.5,68
45.5298,10.174198,0,11.2,0.5,68
45.5298,10.174198,0,1472.6,0.5,68
45.5298,10.174198,0,2735.1,0.5,68
45.5298,10.174198,0,1747.5,0.5,68
45.5298,10.174198,0,729,0.5,68
45.5298,10.174198,0,275.8,0.5,68
45.5298,10.174198,0,105.9,0.5,68
45.5298,10.174198,0,45.8,0.5,68
45.5298,10.174198,0,22.4,0.5,68
45.5298,10.174198,0,12.8,0.5,68
45.5298,10.174198,0,3465.2,0.5,68
45.5298,10.174198,0,3576.7,0.5,68
45.5298,10.174198,0,1368.7,0.5,68
45.5298,10.174198,0,533.3,0.5,68
45.5298,10.174198,0,205.4,0.5,68
45.5298,10.174198,0,88.3,0.5,68
45.5298,10.174198,0,39.5,0.5,68
45.5298,10.174198,0,21.2,0.5,68
45.5298,10.174198,0,13.3,0.5,68
45.5298,10.174198,0,10.5,0.5,68
45.5298,10.174198,0,20.5,0.5,68
45.529797,10.174193,0,12.7,0.5,68
45.529797,10.174193,0,16.4,0.5,68
45.529797,10.174193,0,19.6,1,185
45.529797,10.174193,0,10.1,1,185
45.529797,10.174193,0,20.6,1,185
45.529797,10.174193,0,38.5,1,185
45.529797,10.174193,0,17.1,1,185
45.529793,10.174196,0,8060.5,1,185
45.529793,10.174196,0,4019.8,1,185
45.529793,10.174196,0,4507.1,1,185
45.529793,10.174196,0,3351.7,1.4,214
45.529793,10.174196,0,4880.5,1.4,214
45.529793,10.174196,0,3645.3,1.4,214
45.529793,10.174196,0,1381.3,1.4,214
45.529793,10.174196,0,514.2,1.4,214
45.529793,10.174196,0,198.4,1.4,214
45.529793,10.174196,0,84.2,1.4,214
45.529793,10.174196,0,41.9,1.4,214
45.529793,10.174196,0,26.1,1.4,214
45.529793,10.174196,0,17.7,1.4,214
45.529793,10.174196,0,13.8,1.4,214
45.529793,10.174196,0,11.5,1.4,214
45.529793,10.174196,0,10,1.4,214
