Latitude,Longitude,Height,Stability,Flow-Rate
45.529724,10.174458,0.000000,0,175920.012739
45.529724,10.174458,0.000000,1,2920441369192.326172
45.529724,10.174458,0.000000,2,27925647372117443404557585565614080.000000
45.529724,10.174458,0.000000,3,129310051657724525529648638224499126970993870831058339810962133093191937190946406400.000000
45.529724,10.174458,0.000000,4,30199045154979728465507936289399168846844033508676884843544126001341337105922084692585970861984548135304608572385555287464960631456282356501858670870528.000000
45.529724,10.174458,0.000000,5,inf
45.529808,10.174162,0.000000,0,0.000000
45.529808,10.174162,0.000000,1,0.000000
45.529808,10.174162,0.000000,2,0.000000
45.529808,10.174162,0.000000,3,0.000000
45.529808,10.174162,0.000000,4,0.000000
45.529808,10.174162,0.000000,5,0.000000
45.529808,10.174162,0.000000,0,0.000000
45.529808,10.174162,0.000000,1,0.000000
45.529808,10.174162,0.000000,2,0.000000
45.529808,10.174162,0.000000,3,0.000000
45.529808,10.174162,0.000000,4,0.000000
45.529808,10.174162,0.000000,5,0.000000
45.529816,10.174190,0.000000,0,0.000000
45.529816,10.174190,0.000000,1,0.000000
45.529816,10.174190,0.000000,2,0.000000
45.529816,10.174190,0.000000,3,0.000000
45.529816,10.174190,0.000000,4,0.000000
45.529816,10.174190,0.000000,5,0.000000
45.529816,10.174188,0.000000,0,0.000000
45.529816,10.174188,0.000000,1,0.000000
45.529816,10.174188,0.000000,2,0.000000
45.529816,10.174188,0.000000,3,0.000000
45.529816,10.174188,0.000000,4,0.000000
45.529816,10.174188,0.000000,5,0.000000
45.529816,10.174185,0.000000,0,0.000000
45.529816,10.174185,0.000000,1,0.000000
45.529816,10.174185,0.000000,2,0.000000
45.529816,10.174185,0.000000,3,0.000000
45.529816,10.174185,0.000000,4,0.000000
45.529816,10.174185,0.000000,5,0.000000
45.529816,10.174186,0.000000,0,0.000000
45.529816,10.174186,0.000000,1,0.000000
45.529816,10.174186,0.000000,2,0.000000
45.529816,10.174186,0.000000,3,0.000000
45.529816,10.174186,0.000000,4,0.000000
45.529816,10.174186,0.000000,5,0.000000
45.529816,10.174188,0.000000,0,0.000000
45.529816,10.174188,0.000000,1,0.000000
45.529816,10.174188,0.000000,2,0.000000
45.529816,10.174188,0.000000,3,0.000000
45.529816,10.174188,0.000000,4,0.000000
45.529816,10.174188,0.000000,5,0.000000
45.529816,10.174188,0.000000,0,0.000000
45.529816,10.174188,0.000000,1,0.000000
45.529816,10.174188,0.000000,2,0.000000
45.529816,10.174188,0.000000,3,0.000000
45.529816,10.174188,0.000000,4,0.000000
45.529816,10.174188,0.000000,5,0.000000
45.529816,10.174189,0.000000,0,0.000000
45.529816,10.174189,0.000000,1,0.000000
45.529816,10.174189,0.000000,2,0.000000
45.529816,10.174189,0.000000,3,0.000000
45.529816,10.174189,0.000000,4,0.000000
45.529816,10.174189,0.000000,5,0.000000
45.529816,10.174189,0.000000,0,0.000000
45.529816,10.174189,0.000000,1,0.000000
45.529816,10.174189,0.000000,2,0.000000
45.529816,10.174189,0.000000,3,0.000000
45.529816,10.174189,0.000000,4,0.000000
45.529816,10.174189,0.000000,5,0.000000
45.529816,10.174189,0.000000,0,0.000000
45.529816,10.174189,0.000000,1,0.000000
45.529816,10.174189,0.000000,2,0.000000
45.529816,10.174189,0.000000,3,0.000000
45.529816,10.174189,0.000000,4,0.000000
45.529816,10.174189,0.000000,5,0.000000
45.529816,10.174189,0.000000,0,0.000000
45.529816,10.174189,0.000000,1,0.000000
